2025-06-03 15:17:08,299 - INFO - BTC-USDT-SWAP 4H 获取 300 根
2025-06-03 15:17:08,300 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 92659.3, 'bottom': 92185.4}
2025-06-03 15:17:09,332 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 92659.3, 'bottom': 92185.4}
2025-06-03 15:17:10,932 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 92659.3, 'bottom': 92185.4}
2025-06-03 15:17:11,986 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 92659.3, 'bottom': 92185.4}
2025-06-03 15:17:13,156 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 94390.0, 'bottom': 93708.0}
2025-06-03 15:17:15,090 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 94390.0, 'bottom': 93708.0}
2025-06-03 15:17:16,957 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 94390.0, 'bottom': 93708.0}
2025-06-03 15:17:18,810 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 94390.0, 'bottom': 93708.0}
2025-06-03 15:17:20,690 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 94390.0, 'bottom': 93708.0}
2025-06-03 15:17:21,895 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 94390.0, 'bottom': 93708.0}
2025-06-03 15:17:24,424 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 96806.0, 'bottom': 96490.0}
2025-06-03 15:17:25,609 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 96806.0, 'bottom': 96490.0}
2025-06-03 15:17:26,967 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 96806.0, 'bottom': 96490.0}
2025-06-03 15:17:28,369 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 96806.0, 'bottom': 96490.0}
2025-06-03 15:17:29,650 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 96806.0, 'bottom': 96490.0}
2025-06-03 15:17:30,843 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 96873.0, 'bottom': 96323.1}
2025-06-03 15:17:34,208 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 96873.0, 'bottom': 96323.1}
2025-06-03 15:17:35,429 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 96873.0, 'bottom': 96323.1}
