2025-06-06 17:45:12,800 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 96294.7, 'bottom': 96280.2}
2025-06-06 17:45:12,800 - INFO - [4H] BTC-USDT-SWAP 2025-05-04 12:00 整 趋势=downtrend, OB={'top': 96294.7, 'bottom': 96280.2}
2025-06-06 17:45:14,053 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 96294.7, 'bottom': 96280.2}
2025-06-06 17:45:14,053 - INFO - [4H] BTC-USDT-SWAP 2025-05-04 16:00 整 趋势=downtrend, OB={'top': 96294.7, 'bottom': 96280.2}
2025-06-06 17:45:15,445 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 96294.7, 'bottom': 96280.2}
2025-06-06 17:45:15,445 - INFO - [4H] BTC-USDT-SWAP 2025-05-04 20:00 整 趋势=downtrend, OB={'top': 96294.7, 'bottom': 96280.2}
2025-06-06 17:45:16,570 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 96294.7, 'bottom': 96280.2}
2025-06-06 17:45:16,571 - INFO - [4H] BTC-USDT-SWAP 2025-05-05 00:00 整 趋势=downtrend, OB={'top': 96294.7, 'bottom': 96280.2}
2025-06-06 17:45:17,785 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 96294.7, 'bottom': 96280.2}
2025-06-06 17:45:17,786 - INFO - [4H] BTC-USDT-SWAP 2025-05-05 04:00 整 趋势=downtrend, OB={'top': 96294.7, 'bottom': 96280.2}
2025-06-06 17:45:19,154 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 96294.7, 'bottom': 96280.2}
2025-06-06 17:45:19,155 - INFO - [4H] BTC-USDT-SWAP 2025-05-05 08:00 整 趋势=downtrend, OB={'top': 96294.7, 'bottom': 96280.2}
2025-06-06 17:45:20,289 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 95542.1, 'bottom': 95415.2}
2025-06-06 17:45:20,289 - INFO - [4H] BTC-USDT-SWAP 2025-05-05 12:00 整 趋势=downtrend, OB={'top': 95542.1, 'bottom': 95415.2}
2025-06-06 17:45:21,970 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 95542.1, 'bottom': 95415.2}
