2025-06-09 17:22:28,141 - INFO - [4H] XRP-USDT-SWAP 2025-05-07 12:00 整 趋势=uptrend, OB={'top': 2.0979, 'bottom': 2.0889}
2025-06-09 17:22:29,439 - INFO - [4H] XRP-USDT-SWAP 2025-05-07 16:00 整 趋势=uptrend, OB={'top': 2.0979, 'bottom': 2.0889}
2025-06-09 17:22:31,038 - INFO - [4H] XRP-USDT-SWAP 2025-05-07 20:00 整 趋势=uptrend, OB={'top': 2.0979, 'bottom': 2.0889}
2025-06-09 17:22:32,213 - INFO - [4H] XRP-USDT-SWAP 2025-05-08 00:00 整 趋势=uptrend, OB={'top': 2.0979, 'bottom': 2.0889}
2025-06-09 17:22:33,569 - INFO - [4H] XRP-USDT-SWAP 2025-05-08 04:00 整 趋势=uptrend, OB={'top': 2.0979, 'bottom': 2.0889}
2025-06-09 17:22:34,932 - INFO - [4H] XRP-USDT-SWAP 2025-05-08 08:00 整 趋势=uptrend, OB={'top': 2.0979, 'bottom': 2.0889}
2025-06-09 17:22:36,181 - INFO - [4H] XRP-USDT-SWAP 2025-05-08 12:00 整 趋势=uptrend, OB={'top': 2.0979, 'bottom': 2.0889}
2025-06-09 17:22:37,248 - INFO - [4H] XRP-USDT-SWAP 2025-05-08 16:00 整 趋势=uptrend, OB={'top': 2.0979, 'bottom': 2.0889}
2025-06-09 17:22:38,445 - INFO - [4H] XRP-USDT-SWAP 2025-05-08 20:00 整 趋势=uptrend, OB={'top': 2.0979, 'bottom': 2.0889}
2025-06-09 17:22:39,509 - INFO - [4H] XRP-USDT-SWAP 2025-05-09 00:00 整 趋势=uptrend, OB={'top': 2.0979, 'bottom': 2.0889}
2025-06-09 17:22:40,682 - INFO - [4H] XRP-USDT-SWAP 2025-05-09 04:00 整 趋势=uptrend, OB={'top': 2.0979, 'bottom': 2.0889}
2025-06-09 17:22:41,938 - INFO - [4H] XRP-USDT-SWAP 2025-05-09 08:00 整 趋势=uptrend, OB={'top': 2.0979, 'bottom': 2.0889}
2025-06-09 17:22:43,113 - INFO - [4H] XRP-USDT-SWAP 2025-05-09 12:00 整 趋势=uptrend, OB={'top': 2.0979, 'bottom': 2.0889}
2025-06-09 17:22:44,736 - INFO - [4H] XRP-USDT-SWAP 2025-05-09 16:00 整 趋势=uptrend, OB={'top': 2.0979, 'bottom': 2.0889}
2025-06-09 17:22:46,250 - INFO - [4H] XRP-USDT-SWAP 2025-05-09 20:00 整 趋势=uptrend, OB={'top': 2.1256, 'bottom': 2.1111}
