2025-06-10 16:20:20,566 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:20,567 - INFO - [4H] PI-USDT-SWAP 2025-05-08 12:00 整 趋势=uptrend, OB={'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:21,756 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:21,756 - INFO - [4H] PI-USDT-SWAP 2025-05-08 16:00 整 趋势=uptrend, OB={'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:24,241 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:24,241 - INFO - [4H] PI-USDT-SWAP 2025-05-08 20:00 整 趋势=uptrend, OB={'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:42,479 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:42,480 - INFO - [4H] PI-USDT-SWAP 2025-05-09 00:00 整 趋势=uptrend, OB={'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:44,400 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:44,401 - INFO - [4H] PI-USDT-SWAP 2025-05-09 04:00 整 趋势=uptrend, OB={'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:45,681 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:45,682 - INFO - [4H] PI-USDT-SWAP 2025-05-09 08:00 整 趋势=uptrend, OB={'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:46,925 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:46,926 - INFO - [4H] PI-USDT-SWAP 2025-05-09 12:00 整 趋势=uptrend, OB={'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:48,672 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:48,672 - INFO - [4H] PI-USDT-SWAP 2025-05-09 16:00 整 趋势=uptrend, OB={'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:50,482 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:50,482 - INFO - [4H] PI-USDT-SWAP 2025-05-09 20:00 整 趋势=uptrend, OB={'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:52,402 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:52,402 - INFO - [4H] PI-USDT-SWAP 2025-05-10 00:00 整 趋势=uptrend, OB={'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:53,677 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:53,677 - INFO - [4H] PI-USDT-SWAP 2025-05-10 04:00 整 趋势=uptrend, OB={'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:54,960 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:54,960 - INFO - [4H] PI-USDT-SWAP 2025-05-10 08:00 整 趋势=uptrend, OB={'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:56,243 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:56,244 - INFO - [4H] PI-USDT-SWAP 2025-05-10 12:00 整 趋势=uptrend, OB={'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:57,521 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:20:57,522 - INFO - [4H] PI-USDT-SWAP 2025-05-10 16:00 整 趋势=uptrend, OB={'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:21:00,723 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:21:00,723 - INFO - [4H] PI-USDT-SWAP 2025-05-10 20:00 整 趋势=uptrend, OB={'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:21:01,842 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:21:01,843 - INFO - [4H] PI-USDT-SWAP 2025-05-11 00:00 整 趋势=uptrend, OB={'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:21:03,930 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:21:03,931 - INFO - [4H] PI-USDT-SWAP 2025-05-11 04:00 整 趋势=uptrend, OB={'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:21:06,036 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:21:06,037 - INFO - [4H] PI-USDT-SWAP 2025-05-11 08:00 整 趋势=uptrend, OB={'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:21:07,757 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:21:07,757 - INFO - [4H] PI-USDT-SWAP 2025-05-11 12:00 整 趋势=uptrend, OB={'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:21:10,478 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:21:10,478 - INFO - [4H] PI-USDT-SWAP 2025-05-11 16:00 整 趋势=uptrend, OB={'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:21:12,883 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:21:12,884 - INFO - [4H] PI-USDT-SWAP 2025-05-11 20:00 整 趋势=uptrend, OB={'top': 0.5793, 'bottom': 0.5784}
2025-06-10 16:21:14,219 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:21:14,220 - INFO - [4H] PI-USDT-SWAP 2025-05-12 00:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:21:15,439 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:21:15,440 - INFO - [4H] PI-USDT-SWAP 2025-05-12 04:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:21:19,436 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:21:19,437 - INFO - [4H] PI-USDT-SWAP 2025-05-12 08:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:21:35,764 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:21:35,765 - INFO - [4H] PI-USDT-SWAP 2025-05-12 12:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:21:37,046 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:21:37,046 - INFO - [4H] PI-USDT-SWAP 2025-05-12 16:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:21:39,763 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:21:39,764 - INFO - [4H] PI-USDT-SWAP 2025-05-12 20:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:21:41,213 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:21:41,213 - INFO - [4H] PI-USDT-SWAP 2025-05-13 00:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:21:42,479 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:21:42,480 - INFO - [4H] PI-USDT-SWAP 2025-05-13 04:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:21:43,757 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:21:43,758 - INFO - [4H] PI-USDT-SWAP 2025-05-13 08:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:00,239 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:00,240 - INFO - [4H] PI-USDT-SWAP 2025-05-13 12:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:01,595 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:01,596 - INFO - [4H] PI-USDT-SWAP 2025-05-13 16:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:03,933 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:03,933 - INFO - [4H] PI-USDT-SWAP 2025-05-13 20:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:07,451 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:07,451 - INFO - [4H] PI-USDT-SWAP 2025-05-14 00:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:08,721 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:08,722 - INFO - [4H] PI-USDT-SWAP 2025-05-14 04:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:11,307 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:11,308 - INFO - [4H] PI-USDT-SWAP 2025-05-14 08:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:12,728 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:12,728 - INFO - [4H] PI-USDT-SWAP 2025-05-14 12:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:13,933 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:13,933 - INFO - [4H] PI-USDT-SWAP 2025-05-14 16:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:22:15,114 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
